newid,Species,EEZ,timestay (1/30days),timestay^2 (1/30days)
157,1,40,30.0,900.0
158,1,40,13.537574757470068,183.26593031409078
158,1,247,16.462425242529932,271.0114448658867
159,1,40,8.80586914719563,77.54333143753188
159,1,247,21.194130852804374,449.19118260579427
160,1,40,18.26522673192437,333.61850756860457
160,1,149,0.12200739512625809,0.014885804465494867
160,1,247,11.612765872949373,134.8563312199376
161,1,40,29.999999999999996,899.9999999999998
162,1,0,0.10257676228167505,0.010521992160191273
162,1,40,16.687369750853566,278.4683092017026
162,1,231,0.1673082054849671,0.027992035622599977
162,1,247,13.042745281379792,170.11320447495484
163,1,40,30.0,900.0
164,1,40,30.0,900.0
165,1,40,10.133474104626474,102.68729742913533
165,1,149,5.4940599098705665,30.184694293246977
165,1,247,14.372465985502958,206.5677785044395
166,1,40,29.4,864.3599999999999
166,1,247,0.6,0.36
167,1,0,3.9344262295081966,15.479709755442085
167,1,40,9.344262295081968,87.31523783929053
167,1,94,0.0,0.0
167,1,231,12.78688524590164,163.50443429185705
167,1,247,3.934426229508197,15.479709755442089
168,1,0,0.43478260869565216,0.1890359168241966
168,1,40,14.782608695652174,218.52551984877127
168,1,149,0.43478260869565216,0.1890359168241966
168,1,247,14.347826086956522,205.8601134215501
169,1,0,9.948979591836734,98.98219491878382
169,1,40,16.377551020408163,268.22417742607246
169,1,61,0.3061224489795918,0.09371095376926278
169,1,94,0.0,0.0
169,1,149,0.1530612244897959,0.023427738442315695
169,1,247,3.214285714285714,10.331632653061222
170,1,0,4.00990099009901,16.07930595039702
170,1,25,0.1485148514851485,0.022056661111655718
170,1,40,14.405940594059405,207.53112439956865
170,1,94,0.0,0.0
170,1,149,2.8217821782178216,7.962454661307714
170,1,231,0.297029702970297,0.08822664444662287
170,1,247,8.316831683168317,69.16968924615234
171,1,0,1.926605504587156,3.71180877030553
171,1,25,0.6880733944954129,0.4734449962124402
171,1,40,11.697247706422019,136.82560390539518
171,1,149,0.6880733944954129,0.4734449962124402
171,1,241,0.13761467889908258,0.018937799848497604
171,1,247,14.862385321100918,220.89049743287603
172,1,0,1.5671641791044777,2.4560035642682116
