Source,Target,Weight
Spain,Italy,0.0021297509829619923
Spain,Western Sahara,0.003112712975098296
Western Sahara,Spain,0.030405405405405407
Western Sahara,Disputed Western Sahara/Mauritania,0.0033783783783783786
Canada,United States,0.06546707503828483
French Guiana,Brazil,0.1111111111111111
French Guiana,Suriname,0.05555555555555555
Gabon,Equatorial Guinea,0.015799256505576207
Gabon,Sao Tome & Principe,0.0032527881040892194
Gabon,Congo,0.010571561338289962
Equatorial Guinea,Gabon,0.04736842105263158
Sao Tome & Principe,Equatorial Guinea,0.42857142857142855
Sao Tome & Principe,Gabon,0.20408163265306123
Grenada,Saint Vincent and the Grenadines,0.10335195530726257
Grenada,St. Lucia,0.019553072625698324
Grenada,Venezuela,0.025139664804469275
Grenada,Barbados,0.00558659217877095
Grenada,Trinidad & Tobago,0.002793296089385475
Saint Vincent and the Grenadines,Grenada,0.17
Saint Vincent and the Grenadines,St. Lucia,0.22
Saint Vincent and the Grenadines,Barbados,0.13
Cape Verde,Senegal,0.007228915662650603
Cape Verde,Mauritania,0.018072289156626505
Costa Rica,Ecuador,0.01083815028901734
Costa Rica,Nicaragua,0.002167630057803468
Costa Rica,Panama,0.0050578034682080926
Micronesia,Marshall Is.,0.012213740458015267
Micronesia,Northern Marinana Islands-Guam,0.0061068702290076335
United States Minor Outlying Islands,Marshall Is.,0.005714285714285714
Panama,Nicaragua,0.041666666666666664
Palau,Indonesia,0.056433408577878104
Palau,Micronesia,0.011286681715575621
Palau,Philippines,0.002257336343115124
Philippines,Indonesia,0.03278688524590164
Philippines,Taiwan,0.00819672131147541
Malaysia,Spratly Islands,0.03333333333333333
Malaysia,Indonesia,0.03333333333333333
Brunei,Malaysia,0.3333333333333333
Marshall Is.,United States Minor Outlying Islands,0.007692307692307693
Marshall Is.,Micronesia,0.007692307692307693
China,Vietnam,0.09090909090909091
Vietnam,Indonesia,0.15384615384615385
Solomon Is.,Australia,0.045454545454545456
Trinidad & Tobago,Grenada,0.0658682634730539
Trinidad & Tobago,Barbados,0.017964071856287425
Trinidad & Tobago,Venezuela,0.005988023952095809
Guyana,Suriname,0.07142857142857142
Guyana,Trinidad & Tobago,0.07142857142857142
Guyana,Barbados,0.03571428571428571
Guyana,Venezuela,0.14285714285714285
Congo,Gabon,0.17164179104477612
Congo,Angola,0.029850746268656716
"Congo, DRC",Gabon,1.0
Angola,Congo,0.017142857142857144
Angola,Namibia,0.04
"Bonaire, Sint-Eustasius, Saba",Aruba,1.0
Aruba,Venezuela,0.2222222222222222
Aruba,Colombia,0.3333333333333333
Namibia,South Africa,0.019748653500897665
Namibia,Angola,0.02154398563734291
South Africa,Mozambique,0.01011804384485666
South Africa,Namibia,0.002529510961214165
Mozambique,South Africa,0.0784313725490196
Pakistan,Oman,0.01694915254237288
Pakistan,Iran,0.01694915254237288
Morocco,Spain,0.07179487179487179
Morocco,Portugal,0.006837606837606838
Algeria,Spain,0.03890341012704395
Algeria,Italy,0.0018843839280286913
Algeria,Tunisia,0.005349218892468543
Italy,Algeria,0.01988360814742968
