Source,Target,Weight
Australia,Indonesia,0.004396649040461054
Australia,New Caledonia,0.0002376567048897867
Brazil,Uruguay,0.03212742980561555
Brazil,French Guiana,0.0032397408207343412
United States,United States Minor Outlying Islands,4.918274669246028e-05
United States,The Bahamas,0.00045903896912962935
United States,Canada,0.008393855435513221
United States,Bermuda,0.0010820204272341263
United States,Mexico,0.00011475974228240734
American Samoa,Fiji,0.03333333333333333
American Samoa,Tonga,0.2
Tonga,Fiji,0.4583333333333333
Cook Is.,French Polynesia,1.0
Mexico,Cuba,0.007131633023087151
Mexico,United States,0.0021757524477215035
Mexico,Belize,0.00024175027196905597
Argentina,Uruguay,0.022065727699530517
Argentina,Brazil,0.00046948356807511736
Uruguay,Argentina,0.17181208053691274
Uruguay,Brazil,0.16241610738255033
United Arab Emirates,Oman,0.0015810276679841897
United Arab Emirates,Iran,0.01818181818181818
United Arab Emirates,Saudi Arabia,0.004216073781291172
United Arab Emirates,Qatar,0.021343873517786563
Iran,Oman,0.026729559748427674
Iran,United Arab Emirates,0.08176100628930817
Iran,Saudi Arabia,0.007861635220125786
Iran,Kuwait,0.3805031446540881
Iran,Qatar,0.01729559748427673
Iran,Bahrain,0.007861635220125786
Iran,Pakistan,0.031446540880503145
Oman,Iran,0.011580127007844603
Oman,Pakistan,0.0056032872618602915
Oman,Yemen,0.08367575644378035
Oman,United Arab Emirates,0.002614867388868136
Maldives,Sri Lanka,0.1510204081632653
Maldives,British Indian Ocean Territory,0.00816326530612245
Indonesia,Palau,0.0679177837354781
Indonesia,Micronesia,0.003127792672028597
Indonesia,Philippines,0.004915102770330653
Indonesia,Malaysia,0.0017873100983020554
Indonesia,Papua New Guinea,0.010723860589812333
Cuba,United States,0.9818181818181818
The Bahamas,United States,0.07047872340425532
British Indian Ocean Territory,Maldives,0.00032336297493936947
Seychelles,Madagascar,0.0007568113017154389
Seychelles,Comoros,0.0035317860746720484
Mauritius,French Southern & Antarctic Lands,0.07627118644067797
Mauritius,Seychelles,0.3855932203389831
Mauritius,Madagascar,0.059322033898305086
French Southern & Antarctic Lands,Madagascar,0.34615384615384615
French Southern & Antarctic Lands,Comoros,0.1346153846153846
French Southern & Antarctic Lands,Seychelles,0.057692307692307696
Madagascar,Seychelles,0.05214723926380368
Madagascar,French Southern & Antarctic Lands,0.06748466257668712
Madagascar,Comoros,0.009202453987730062
Somalia,Yemen,0.056320400500625784
Comoros,Mozambique,0.08333333333333333
Comoros,Tanzania,0.8333333333333334
Tanzania,Kenya,0.09259259259259259
Kuwait,Saudi Arabia,0.0047130112775627
Kuwait,Iran,0.04140717051001515
Saudi Arabia,Iran,0.00202020202020202
Saudi Arabia,Kuwait,0.014141414141414142
Saudi Arabia,Bahrain,0.00202020202020202
Saudi Arabia,United Arab Emirates,0.07878787878787878
Saudi Arabia,Qatar,0.010101010101010102
Bahrain,Saudi Arabia,0.0024875621890547263
Bahrain,Qatar,0.060945273631840796
Bahrain,United Arab Emirates,0.008706467661691543
Bahrain,Iran,0.007462686567164179
Qatar,United Arab Emirates,0.3234567901234568
Qatar,Bahrain,0.07160493827160494
Qatar,Iran,0.037037037037037035
Qatar,Saudi Arabia,0.0049382716049382715
Yemen,Somalia,0.03333333333333333
Yemen,Djibouti,0.0033333333333333335
Yemen,Oman,0.20833333333333334
Djibouti,Eritrea,1.0
Netherlands Antilles,Guadeloupe,0.031932773109243695
Netherlands Antilles,"Virgin Islands, British",0.01680672268907563
Netherlands Antilles,Anguilla,0.010084033613445379
Netherlands Antilles,Antigua & Barbuda,0.011764705882352941
Netherlands Antilles,Puerto Rico,0.010084033613445379
Anguilla,Puerto Rico,0.06190476190476191
Anguilla,United States Virgin Islands,0.047619047619047616
Anguilla,"Virgin Islands, British",0.1761904761904762
Anguilla,Venezuela,0.014285714285714285
Anguilla,Guadeloupe,0.023809523809523808
Anguilla,Netherlands Antilles,0.009523809523809525
Anguilla,Antigua & Barbuda,0.24285714285714285
"Virgin Islands, British",Puerto Rico,0.21428571428571427
"Virgin Islands, British",Anguilla,0.08928571428571429
"Virgin Islands, British",Dominican Republic,0.125
Puerto Rico,Dominican Republic,0.2857142857142857
Puerto Rico,Netherlands Antilles,0.02857142857142857
Puerto Rico,Anguilla,0.08571428571428572
Puerto Rico,United States Virgin Islands,0.02857142857142857
Puerto Rico,"Virgin Islands, British",0.05714285714285714
Dominican Republic,Haiti,0.12021857923497267
Dominican Republic,Jamaica,0.13114754098360656
Dominican Republic,Colombia,0.07650273224043716
Dominican Republic,"Virgin Islands, British",0.00546448087431694
Haiti,Colombia,0.21621621621621623
Haiti,Jamaica,0.5945945945945946
Haiti,Joint regime Colombia/Jamaica,0.013513513513513514
Haiti,Dominican Republic,0.16216216216216217
Jamaica,Joint regime Colombia/Jamaica,0.11949685534591195
Jamaica,Colombia,0.0880503144654088
Jamaica,Nicaragua,0.031446540880503145
Jamaica,Honduras,0.03773584905660377
Jamaica,Haiti,0.24528301886792453
Jamaica,Dominican Republic,0.03773584905660377
Joint regime Colombia/Jamaica,Honduras,0.5454545454545454
Joint regime Colombia/Jamaica,Nicaragua,0.18181818181818182
Joint regime Colombia/Jamaica,Jamaica,0.09090909090909091
Honduras,Nicaragua,0.046296296296296294
Honduras,Jamaica,0.033950617283950615
Nicaragua,Honduras,0.07777777777777778
Nicaragua,Jamaica,0.05555555555555555
Nicaragua,El Salvador,0.06666666666666667
Nicaragua,Costa Rica,0.15555555555555556
Colombia,Jamaica,0.024390243902439025
Colombia,Honduras,0.10975609756097561
Colombia,Nicaragua,0.024390243902439025
Colombia,Costa Rica,0.12804878048780488
United States Virgin Islands,Puerto Rico,0.4
United States Virgin Islands,Anguilla,0.1
United States Virgin Islands,"Virgin Islands, British",0.5
