Source,Target,Weight
Madagascar,Mayotte,0.0034782608695652175
Comoros,Mozambique,0.12307692307692308
Comoros,Seychelles,0.015384615384615385
Comoros,Mayotte,0.03076923076923077
Tanzania,Kenya,0.007142857142857143
Mayotte,Madagascar,0.4
Mayotte,Comoros,0.05
Somalia,Yemen,0.25
Saudi Arabia,Bahrain,0.2727272727272727
Saudi Arabia,Iran,0.14393939393939395
Saudi Arabia,Kuwait,0.022727272727272728
Kenya,Tanzania,0.017699115044247787
Philippines,Malaysia,0.011928429423459244
Malaysia,Philippines,0.6
Malaysia,Indonesia,0.1
Joint development area Australia/East Timor,Timor-Leste,0.391304347826087
Timor-Leste,Joint development area Australia/East Timor,1.0
Iran,Qatar,0.0017254128666502342
Iran,Bahrain,0.03179689425684003
Iran,United Arab Emirates,0.03155040670446142
Iran,Saudi Arabia,0.003697313285679073
Iran,Kuwait,0.0004929751047572097
United Arab Emirates,Iran,0.16759002770083103
United Arab Emirates,Qatar,0.006925207756232687
Bahrain,Iran,0.1430084745762712
Bahrain,Saudi Arabia,0.05402542372881356
Qatar,United Arab Emirates,0.13793103448275862
Qatar,Iran,0.10344827586206896
Kuwait,Iran,0.8571428571428571
Yemen,Somalia,0.3333333333333333
China,Vietnam,0.4
Vietnam,China,0.05555555555555555
Vietnam,Indonesia,0.05555555555555555
El Salvador,Guatemala,0.2222222222222222
Guatemala,Mexico,0.13333333333333333
Namibia,South Africa,0.25
