EEZ;newid
Antarctica;3767
Antarctica;3768
Antarctica;3769
Antarctica;3770
Antarctica;3771
Antarctica;3772
Antarctica;3773
Antarctica;3774
Antarctica;3775
Antarctica;3776
Antarctica;3777
Antarctica;3778
Antarctica;3779
Antarctica;3780
Antarctica;3781
Antarctica;3782
Antarctica;3783
Antarctica;3784
Antarctica;3785
Antarctica;3786
Antarctica;3787
Antarctica;3788
Antarctica;3789
Antarctica;3790
Antarctica;3791
Antarctica;3792
Antarctica;3793
Antarctica;3794
Antarctica;3795
Antarctica;3796
Antarctica;3797
Antarctica;3798
Antarctica;3799
Antarctica;3800
Antarctica;3801
Antarctica;3802
Antarctica;3803
Antarctica;3804
Antarctica;3805
Antarctica;3806
Antarctica;3807
Antarctica;3808
Antarctica;3809
Antarctica;3810
Antarctica;3811
Antarctica;3812
Antarctica;3813
Antarctica;3814
Antarctica;3815
Antarctica;3816
Antarctica;3817
Antarctica;3818
Antarctica;3819
Antarctica;3820
Antarctica;3821
Antarctica;3822
Antarctica;3823
Antarctica;3824
Antarctica;3825
Antarctica;3826
Antarctica;3827
Antarctica;3828
Antarctica;3829
Antarctica;3830
Antarctica;3831
Antarctica;3832
Antarctica;3833
Antarctica;3834
Antarctica;3835
Antarctica;3836
Antarctica;3837
Antarctica;3838
Antarctica;3839
Antarctica;3840
Antarctica;3841
Antarctica;3842
Antarctica;3843
Antarctica;3844
Antarctica;3845
Antarctica;3846
Antarctica;3847
Antarctica;3848
Antarctica;3849
Antarctica;3850
Antarctica;3851
Antarctica;3852
Antarctica;3853
Antarctica;3854
Antarctica;3855
Antarctica;3856
Antarctica;3857
Antarctica;3858
Antarctica;3859
Antarctica;3860
Antarctica;3861
Antarctica;3862
Antarctica;3863
Antarctica;3864
Antarctica;3865
Antarctica;3866
Antarctica;3867
Antarctica;3868
Antarctica;3869
Antarctica;3870
Antarctica;3871
Antarctica;3872
Antarctica;3873
Antarctica;3874
Antarctica;3875
Antarctica;3876
Antarctica;3877
Antarctica;3878
Antarctica;3879
Antarctica;3880
Antarctica;3881
Antarctica;3882
Antarctica;3883
Antarctica;3884
Antarctica;3885
Antarctica;3886
Antarctica;3887
Antarctica;3888
Antarctica;3889
Antarctica;3890
Antarctica;3891
Antarctica;3892
Antarctica;3893
Antarctica;3894
Antarctica;3895
Antarctica;3896
Antarctica;3897
Antarctica;3898
Antarctica;3899
Antarctica;3900
Antarctica;3901
Antarctica;3902
Antarctica;3903
Antarctica;3904
Antarctica;3905
Antarctica;3906
Antarctica;3907
Antarctica;3908
Antarctica;3909
Antarctica;3910
Antarctica;3911
Antarctica;3912
Antarctica;3913
Antarctica;3914
Antarctica;3915
Antarctica;3916
Antarctica;3917
Antarctica;3918
Antarctica;3919
Antarctica;3920
Antarctica;3921
Antarctica;3922
Antarctica;3923
Antarctica;3924
Antarctica;3925
Antarctica;3926
Antarctica;3927
Antarctica;3928
Antarctica;3929
Antarctica;4955
Antarctica;4956
Antarctica;4957
Antarctica;4958
Antarctica;4959
Antarctica;4960
Antarctica;4961
Antarctica;4962
Antarctica;4963
Antarctica;4964
Antarctica;4965
Antarctica;5008
Antarctica;5009
Antarctica;5010
Antarctica;5011
Antarctica;5012
Antarctica;5013
Antarctica;5014
Antarctica;5015
Antarctica;5016
Antarctica;5017
Antarctica;5018
Antarctica;5019
Antarctica;5020
Antarctica;5021
Antarctica;5022
Antarctica;5023
Antarctica;5024
Antarctica;5025
Antarctica;5026
Antarctica;5027
Antarctica;5028
Antarctica;5029
Antarctica;5030
Antarctica;5031
Antarctica;5032
Antarctica;5033
Antarctica;5034
Antarctica;5035
Antarctica;5036
Antarctica;5037
Antarctica;5038
Antarctica;5039
Antarctica;5040
Antarctica;5041
Antarctica;5042
Antarctica;5043
Antarctica;5044
Antarctica;5045
Antarctica;5046
Antarctica;5048
Antarctica;5049
Antarctica;5050
Antarctica;5051
Antarctica;5052
Antarctica;5053
Antarctica;5054
Antarctica;5055
Antarctica;5056
Antarctica;5057
Antarctica;5058
Antarctica;5059
Antarctica;5060
Antarctica;5061
Antarctica;5062
Antarctica;5479
Antarctica;5480
Antarctica;5483
Antarctica;5488
Antarctica;5491
Antarctica;5492
Antarctica;5496
Antarctica;5498
Antarctica;5499
Antarctica;5501
Antarctica;5514
Antarctica;5519
Antarctica;5533
Antarctica;5537
Antarctica;5544
Antarctica;5549
Antarctica;5573
Antarctica;5574
Antarctica;5582
Antarctica;5583
Antarctica;5588
Antarctica;5592
Antarctica;5593
Antarctica;5602
Antarctica;5605
Antarctica;5606
Antarctica;5607
Antarctica;5608
Antarctica;5609
Antarctica;5611
Antarctica;5613
Antarctica;5615
Antarctica;5616
Antarctica;5617
Antarctica;5624
Antarctica;5625
Antarctica;5634
Antarctica;5646
Antarctica;5648
Antarctica;5650
Antarctica;5654
Antarctica;5658
Antarctica;5659
Antarctica;5660
Antarctica;5675
Antarctica;5676
Antarctica;5678
Antarctica;5679
Antarctica;5680
Antarctica;5681
Antarctica;5683
Antarctica;5689
Antarctica;5690
Antarctica;5691
Antarctica;5709
Antarctica;5710
Antarctica;5720
Antarctica;5723
Antarctica;5727
Antarctica;5735
Antarctica;5737
Antarctica;5754
Antarctica;5755
Antarctica;5756
Antarctica;5758
Antarctica;5759
Antarctica;5763
Antarctica;5764
Antarctica;5765
Antarctica;5766
Antarctica;5768
Antarctica;5769
Antarctica;5771
Antarctica;5774
Antarctica;5775
Antarctica;5778
Antarctica;5779
Antarctica;5780
Antarctica;5781
Antarctica;5782
Antarctica;5783
Antarctica;5786
Antarctica;5788
Antarctica;5789
Antarctica;5791
Antarctica;5793
Antarctica;5794
Antarctica;5795
Antarctica;5796
