protected_number_mean,protected_number_var,prot_species
8379.0,0.0,71.0
8402.672131147541,23.478097285675894,71.0
8426.427584338166,46.651437601985094,71.0
8450.267084405908,69.52067804818525,72.0
8474.191374628701,92.08642640565424,72.0
8498.201217292824,114.34924162862828,72.0
8522.297394280324,136.30963430865734,72.0
8546.480707680455,157.96806711346855,72.0
8570.751980426137,179.32495520082375,72.0
8595.112056956514,200.38066660785185,73.0
8619.561803906694,221.1355226162313,73.0
8644.102110825945,241.58979809349051,73.0
8668.733890925414,261.74372181058703,73.0
8693.45808185683,281.5974767358132,73.0
8718.275646523305,301.15120030496104,73.0
8743.187573923848,320.40498466756526,73.0
8768.194880032835,339.3588769089138,73.0
8793.2986087161,358.0128792473949,73.0
8818.49983268514,376.36694920660716,74.0
8843.799654491111,394.4209997615257,74.0
8869.199207560301,412.1748994578627,74.0
8894.699657272999,429.62847250360267,74.0
8920.30220208738,446.78149883152815,74.0
8946.008074710713,463.633714131364,75.0
8971.818543319609,480.18480984998666,76.0
8997.734912831665,496.43443315792024,76.0
9023.758526230666,512.3821868801386,76.0
9049.890765947659,528.0276293889364,76.0
9076.13305530039,543.3702744563724,76.0
9102.486859993638,558.4095910635216,76.0
9128.953689683116,573.1450031634417,76.0
9155.535099605728,587.575889394451,76.0
9182.232692279142,601.7015827399325,76.0
9209.048119273699,615.5213701305015,76.0
9235.983083059862,629.0344919839245,76.0
9263.039338934585,642.2401416777291,76.0
9290.218697030128,655.1374649489061,76.0
9317.523024408865,667.7255592145644,76.0
9344.954247248133,680.0034728067637,76.0
9372.514353118986,691.970204114093,76.0
9400.20539336313,703.6247006218053,76.0
9428.02948557249,714.9658578415194,76.0
9455.988816175997,725.9925181206002,76.0
9484.085643138471,736.7034693203505,76.0
9512.322298776699,747.0974433510719,76.0
9540.701192697985,757.1731145508651,78.0
9569.224814866897,766.9290978937321,78.0
9597.895738805895,776.3639470111251,78.0
9626.716624936184,785.4761520094776,78.0
9655.69022406507,794.2641370645412,78.0
9684.81938102676,802.7262577714114,78.0
9714.107038483562,810.8607982270215,79.0
9743.556240895092,818.6659678195389,80.0
9773.170138663167,826.1398976965289,81.0
9802.951992460776,833.2806368808989,81.0
9832.905177753637,840.0861480004982,81.0
9863.033189523483,846.5543025937625,81.0
9893.339647202607,852.6828759499708,83.0
9923.828299829667,858.4695414384056,85.0
9954.503031437327,863.9118642760317,85.0
9985.36786668275,869.0072946780815,85.0
10016.42697673267,873.7531603301773,90.0
10047.684685415219,878.1466581142266,91.0
10079.145475651476,882.1848450132361,93.0
10110.813996180224,885.8646281123276,94.0
10142.695068590252,889.1827536045148,94.0
10174.793694675194,892.1357947000946,95.0
10207.115064126794,894.7201383277506,96.0
10239.664562583155,896.9319705034768,98.0
10272.447780049619,898.7672602301099,99.0
10305.470519710781,900.2217417754334,100.0
10338.738807153068,901.2908951602814,100.0
10372.25890001847,901.9699246696765,100.0
10406.037298111105,902.2537351794869,101.0
10440.080753979426,902.1369060681698,101.0
10474.396283998196,901.6136624575907,101.0
10508.99117997558,900.6778434982764,101.0
10543.87302131232,899.3228673824963,101.0
10579.049687741057,897.5416927327394,101.0
10614.529372675908,895.3267759730634,101.0
10650.320597203614,892.6700242458226,101.0
10686.432224749675,889.5627433858501,101.0
10722.873476454552,885.9955804075306,102.0
10759.653947297027,881.9584598965452,102.0
10796.783623003952,877.4405136264862,102.0
10834.27289778776,872.4300026399237,102.0
10872.132592955466,866.9142309426734,102.0
10910.373976435347,860.8794498575448,102.0
10949.008783270128,854.3107519681582,102.0
10988.04923712827,847.1919534526287,103.0
11027.508072887813,839.5054634589585,103.0
11067.398560350412,831.2321390063622,103.0
11107.734529146472,822.3511237066896,103.0
11148.530394895675,812.8396683843616,103.0
11189.801186690895,802.6729314280126,103.0
11231.56257597749,791.8237564280315,103.0
11273.830906903826,780.2624243363573,103.0
11316.623228223385,767.9563770223867,103.0
11359.957326833455,754.8699086849416,103.0
11403.851763039898,740.9638211070281,103.0
11448.32590764315,726.1950381984859,103.0
11493.399980945362,710.5161746509269,104.0
11539.09509378493,693.8750528172202,104.0
11585.433290710165,676.2141611097418,104.0
11632.437595410565,657.4700462708852,104.0
11680.13205853068,637.5726307862393,104.0
11728.541807998712,616.4444454625187,104.0
11777.693102009505,593.999765751951,105.0
11827.613384809309,570.143638741201,105.0
11878.331345438306,544.7707857994241,108.0
11929.876979595325,517.7643636540421,109.0
11982.281654798688,488.99456408438283,109.0
12035.578179026763,458.3170294340394,109.0
12089.800873032065,425.5710576744502,110.0
12144.985646533574,390.57756672497896,111.0
12201.170078503459,353.1367830553816,111.0
12258.393501776125,313.0256141559354,111.0
12316.69709222054,269.9946581311951,111.0
12376.123962729649,223.7647963063961,111.0
12436.719262295084,174.02330615690616,111.0
12498.530280449806,120.41942187766075,111.0
12561.606557377047,62.559258263907594,111.0
12626.0,0.0,111.0
