protected_number_mean,protected_number_var,prot_species
743.0,0.0,7.0
794.045197740113,50.75680679242875,7.0
845.1935028248588,101.03993241449253,7.0
896.4454138234646,150.84983571709475,7.0
947.8014355292087,200.1869420508293,7.0
999.2620790683751,249.05164335847104,7.0
1050.8278620117846,297.44429825905405,7.0
1102.4993084889925,345.3652321236029,7.0
1154.2769493052372,392.81473714257567,7.0
1206.16132206124,439.79307238506755,7.0
1258.1529712759534,486.30046384981694,7.0
1310.2524485123527,532.3371045080517,7.0
1362.4603125063861,577.9031543381957,7.0
1414.7771292991793,622.9987403524646,7.0
1467.2034723726251,667.6239566153523,7.0
1519.7399227884555,711.7788642540189,7.0
1572.3870693309314,755.4634914605775,7.0
1625.1455086532753,798.6778334862622,7.0
1678.015845427974,841.4218526274665,7.0
1730.998692501089,883.69547820362,7.0
1784.094671050719,925.4986065268748,7.0
1837.304410749762,966.8311008635523,7.0
1890.628549933124,1007.6927913873102,7.0
1944.0677357695424,1048.0834751239624,7.0
1997.6226244381878,1088.002915887897,7.0
2051.293881310207,1127.450844210001,7.0
2105.0821811353967,1166.4269572570277,7.0
2158.9882082342056,1204.9309187423019,7.0
2213.0126566952126,1242.9623588276727,7.0
2267.15623057835,1280.5208740165858,7.0
2321.4196441240165,1317.6060270381806,7.0
2375.8036219683477,1354.2173467222594,7.0
2430.3088993648325,1390.354327865006,7.0
2484.936222412548,1426.0164310852917,7.0
2539.68634829122,1461.2030826714147,7.0
2594.5600455033955,1495.913674418097,7.0
2649.5580941239828,1530.1475634535532,7.0
2704.681286057421,1563.904072056435,7.0
2759.9304253027894,1597.1824874624435,7.0
2815.306328227147,1629.9820616603818,7.0
2870.809823847404,1662.3020111774083,7.0
2926.4417541210687,1694.1415168532474,7.0
2982.202974246181,1725.4997236030708,7.0
3038.094352970815,1756.3757401687853,7.0
3094.1167729124895,1786.7686388584013,7.0
3150.2711308878784,1816.6774552731838,7.0
3206.558338253214,1846.101188022221,7.0
3262.9793212558,1875.0387984240654,7.0
3319.535021397054,1903.4892101950588,7.0
3376.226395807528,1931.451309123928,7.0
3433.054417634384,1958.923942732231,7.0
3490.0200764417837,1985.9059199201808,7.0
3547.12437862472,2012.3960105973742,7.0
3604.3683478368007,2038.3929452979064,7.0
3661.753025432529,2063.895414779312,7.0
3719.279470924654,2088.9020696047774,7.0
3776.948762457187,2113.4115197079736,7.0
3834.761997294681,2137.4223339398936,7.0
3892.720292328433,2160.9330395969537,7.0
3950.824784600273,2183.9421219296655,7.0
4009.076631844623,2206.4480236310505,7.0
4067.477013049559,2228.4491443039883,7.0
4126.027129037629,2249.9438399065893,7.0
4184.728203067224,2270.9304221746565,7.0
4243.581481455265,2291.4071580202203,7.0
4302.588234222162,2311.3722689050533,7.0
4361.749755759803,2330.8239301880562,7.0
4421.067365523604,2349.7602704452415,7.0
4480.54240874953,2368.1793707610395,7.0
4540.176257197078,2386.0792639895135,7.0
4599.970309919325,2403.4579339840075,7.0
4659.925994061041,2420.3133147935932,7.0
4720.0447656861015,2436.6432898246594,7.0
4780.328110635288,2452.4456909657797,7.0
4840.777545415768,2467.718297673902,7.0
4901.3946181235,2482.4588360197827,7.0
4962.18090939994,2496.6649776904023,7.0
5023.138033424388,2510.3343389459455,7.0
5084.267638943473,2523.464479528769,7.0
5145.571410339264,2536.0529015215807,7.0
5207.05106873761,2548.097048151811,7.0
5268.708373158284,2559.594302539017,7.0
5330.545121708773,2570.5419863818092,7.0
5392.563152823329,2580.937358580632,7.0
5454.764346549331,2590.7776137923697,7.0
5517.150625882728,2600.0598809124594,7.0
5579.723958154721,2608.7812214798932,8.0
5642.486356471722,2616.938628000067,8.0
5705.439881210804,2624.529022180088,8.0
5768.586641572983,2631.5492530706806,24.0
5831.928797196671,2637.9960951084176,30.0
5895.468559833842,2643.8662460514242,34.0
5959.208195091513,2649.156324801211,39.0
6023.1500242412385,2653.8628691026656,41.0
6087.2964260995095,2657.982333113549,41.0
6151.649838981984,2661.5110848341947,41.0
6216.212762734653,2664.445403387271,43.0
6280.98776084518,2666.7814761366326,45.0
6345.977462637812,2668.5153956333825,46.0
6411.184565555331,2669.6431563762517,51.0
6476.611837531779,2670.1606513722695,52.0
6542.26211945979,2670.063668482548,52.0
6608.138327756508,2669.3478865366505,55.0
6674.243457032351,2668.0088711975923,56.0
6740.5805828669445,2666.0420705579845,57.0
6807.152864696834,2663.4428104460494,58.0
6873.963548819804,2660.2062894184405,63.0
6941.015971520705,2656.3275734147164,65.0
7008.313562324156,2651.80159004603,65.0
7075.859847379502,2646.623122488238,66.0
7143.658452983792,2640.786802946841,68.0
7211.713109248777,2634.287105658304,70.0
7280.027653918192,2627.118339388976,72.0
7348.606036341867,2619.2746393893995,77.0
7417.452321613586,2610.7499587577945,78.0
7486.570694879866,2601.5380591623352,80.0
7555.965465827162,2591.632500867057,82.0
7625.6410733554985,2581.026632001143,84.0
7695.602090446684,2569.713577005682,86.0
7765.853229235877,2557.6862241857057,88.0
7836.399346295572,2544.937212288534,88.0
7907.245448141572,2531.4589160219125,88.0
7978.39669697091,2517.2434304170874,89.0
8049.858416642328,2502.282553932904,90.0
8121.636098910248,2486.5677701868876,92.0
8193.735409923931,2470.09022818821,92.0
8266.16219700389,2452.8407209351935,93.0
8338.922495708499,2434.8096622264943,93.0
