sorted_countries_species,importances
Antarctica,NaN
Canada,NaN
United States,NaN
Mexico,NaN
-1,NaN
Bermuda,NaN
The Bahamas,NaN
Greenland,NaN
Cuba,NaN
Turks & Caicos Is.,NaN
Jamaica,NaN
Joint regime Colombia/Jamaica,NaN
Colombia,NaN
"Saint Helena, Ascension en Tristan da Cunha",NaN
Denmark,NaN
France,NaN
Germany,NaN
Iceland,NaN
Ireland,NaN
Italy,NaN
Norway,NaN
Portugal,NaN
Spain,NaN
United Kingdom,NaN
Faroe Is.,NaN
Jan Mayen,NaN
Morocco,NaN
Western Sahara,NaN
Belgium,NaN
Netherlands,NaN
Australia,NaN
Cocos Is.,NaN
French Southern & Antarctic Lands,NaN
Madagascar,NaN
Mauritius,NaN
Mozambique,NaN
Reunion,NaN
South Africa,NaN
Seychelles,NaN
British Indian Ocean Territory,NaN
Christmas I.,NaN
India,NaN
Indonesia,NaN
Maldives,NaN
Sri Lanka,NaN
Malaysia,NaN
Thailand,NaN
Kenya,NaN
Comoros,NaN
Disputed Kenya/Somalia,NaN
Tanzania,NaN
Mayotte,NaN
Somalia,NaN
Heard I. & McDonald Is.,NaN
South Georgia & the South Sandwich Is.,NaN
Argentina,NaN
Uruguay,NaN
Falkland Islands,NaN
Chile,NaN
New Zealand,NaN
Bouvet I.,NaN
Namibia,NaN
Brazil,NaN
Angola,NaN
Conflict zone Japan/Russia,NaN
Japan,NaN
Russia,NaN
United States Minor Outlying Islands,NaN
Ecuador,NaN
Costa Rica,NaN
Dominican Republic,NaN
Nicaragua,NaN
Panama,NaN
Puerto Rico,NaN
"Virgin Islands, British",NaN
Cape Verde,NaN
Disputed Western Sahara/Mauritania,NaN
Liberia,NaN
Sierra Leone,NaN
Clipperton Island,NaN
Guatemala,NaN
El Salvador,NaN
Guinea,NaN
Guinea-Bissau,NaN
Mauritania,NaN
Senegal,NaN
The Gambia,NaN
French Guiana,NaN
Suriname,NaN
New Caledonia,NaN
Cayman Is.,NaN
American Samoa,NaN
Fiji,NaN
Tonga,NaN
Marshall Is.,NaN
Micronesia,NaN
Nauru,NaN
Papua New Guinea,NaN
Northern Marinana Islands-Guam,NaN
Philippines,NaN
Cook Is.,NaN
French Polynesia,NaN
Iran,NaN
Oman,NaN
United Arab Emirates,NaN
Yemen,NaN
Honduras,NaN
Kuwait,NaN
Saudi Arabia,NaN
Bahrain,NaN
Qatar,NaN
Djibouti,NaN
Eritrea,NaN
Netherlands Antilles,NaN
Anguilla,NaN
Antigua & Barbuda,NaN
Pitcairn Is.,NaN
Haiti,NaN
United States Virgin Islands,NaN
Belize,NaN
Peru,NaN
Gabon,NaN
Joint regime Nigeria/Sao Tome and Principe,NaN
Nigeria,NaN
Sao Tome & Principe,NaN
Cameroon,NaN
Equatorial Guinea,NaN
Congo,NaN
Benin,NaN
Ghana,NaN
Norfolk I.,NaN
Dominica,NaN
Guadeloupe,NaN
St. Lucia,NaN
Martinique,NaN
Venezuela,NaN
Barbados,NaN
Grenada,NaN
Saint Vincent and the Grenadines,NaN
Kiribati,NaN
Palau,NaN
Brunei,NaN
Spratly Islands,NaN
China,NaN
Taiwan,NaN
Vietnam,NaN
Solomon Is.,NaN
Tuvalu,NaN
Guyana,NaN
Trinidad & Tobago,NaN
"Congo, DRC",NaN
Aruba,NaN
"Bonaire, Sint-Eustasius, Saba",NaN
Pakistan,NaN
Algeria,NaN
Tunisia,NaN
Cyprus,NaN
Egypt,NaN
Israel,NaN
Libya,NaN
Greece,NaN
Albania,NaN
Bosnia & Herzegovina,NaN
Croatia,NaN
Turkey,NaN
Malta,NaN
San Marino,NaN
St. Kitts & Nevis,NaN
Joint development area Australia/East Timor,NaN
Myanmar,NaN
Paracel Islands,NaN
Sudan,NaN
Bangladesh,NaN
Cambodia,NaN
Joint regime Japan/Korea,NaN
South Korea,NaN
Curaçao,NaN
Timor-Leste,NaN
Vanuatu,NaN
